DirectorID,EXECID,execCIK
339994,28578,NA
1192099,43994,NA
339735,28575,NA
509652,56021,NA
339422,35837,NA
320401,13789,NA
320400,13788,NA
275804,22896,NA
1109796,43183,NA
324074,22268,NA
324048,22269,NA
370624,28481,NA
61312,22818,NA
1402075,56521,NA
1402077,56517,NA
205267,19569,NA
502741,32135,NA
83992,02814,NA
181364,06627,NA
181369,06625,NA
204846,19940,NA
374440,32904,NA
337180,21643,NA
66672,18529,NA
66897,18530,NA
67247,19034,NA
221071,25579,NA
142122,05910,NA
33248,04153,NA
45056,01878,NA
486476,29400,NA
337437,36377,NA
206343,20013,NA
182080,07978,NA
36538,11494,NA
220113,24088,NA
1864682,55111,NA
604495,48086,NA
333393,50135,NA
334487,40632,NA
53137,06608,NA
53127,06609,NA
52952,06780,NA
335292,51686,NA
371931,20825,NA
371759,22547,NA
87067,18092,NA
87127,18091,NA
220910,21848,NA
70902,08982,NA
201534,25092,NA
203469,15492,NA
201530,15496,NA
350046,27555,NA
201533,21285,NA
88777,06605,NA
1189192,55647,NA
1189193,55651,NA
69262,08411,NA
69227,08414,NA
339056,08413,NA
541501,43856,NA
160131,23410,NA
329165,11001,NA
328803,18849,NA
182372,00809,NA
325620,17084,NA
347513,46400,NA
1081994,59036,NA
371835,59037,NA
371846,59034,NA
33138,14687,NA
33148,24743,NA
33296,12643,NA
33263,23369,NA
343163,41140,NA
33153,20913,NA
33141,12526,NA
33143,02976,NA
1048341,58665,NA
87512,06541,NA
48516,04942,NA
87492,06544,NA
87502,06538,NA
183773,11793,NA
597434,36967,NA
36526,16525,NA
183639,26962,NA
1057159,40188,NA
1392966,49383,NA
489398,34305,NA
591861,44281,NA
56567,28209,NA
202245,05999,NA
868,26442,NA
452,16479,NA
594430,57660,NA
605709,55089,NA
66542,04323,NA
66537,17544,NA
183555,22006,NA
310377,30034,NA
1017075,55228,NA
183550,41917,NA
549041,33785,NA
548068,39977,NA
492388,30079,NA
35499,00203,NA
24862,21503,NA
35516,03047,NA
